       T  1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20
    N  +--------------------------------------------------------------------------------------------------
    1  |  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    2  |  1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2
    3  |  1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    3    2    3    3    3
    4  |  1    1    1    1    1    1    2    2    2    2    2    2    2    2    3    3    3    3    3    3
    5  |  1    1    1    1    1    2    2    2    2    2    2    3    3    3    3    3    4    4    5    5
    6  |  1    1    1    1    2    2    2    2    2    2    3    3    3    4    4    5    5    6    5    5
    7  |  1    1    1    2    2    2    2    2    3    3    3    4    5    5    5    6    6    7    7    7
    8  |  1    1    1    2    2    2    2    3    4    4    5    5    5    6    6    7    8    8    9   10
    9  |  1    1    1    2    2    3    3    4    4    5    6    7    7    8    7    8    9   10   10   11
   10  |  1    1    2    2    2    3    4    4    5    6    7    8    8    8    9   10   11   12   13   13
   11  |  1    1    2    2    3    4    5    6    6    7    7    9    9    9   11   12   12   13   15   15
   12  |  1    1    2    3    4    4    5    6    7    8    9   10   10   11   12   14   14   16   16   17
   13  |  1    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   16   18   19
   14  |  1    2    2    4    5    6    7    8    9   10   11   12   13   15   16   16   17   20   20   21
